One-way ANOVA Result,,,,,,,
Measure,Mean (SD),,,,F,Sig.,Post hoc tests
COCA_spoken_bi_MI2,9.1 (0.26),9.18 (0.36),9.14 (0.26),9.17 (0.26),0.32 ,0.81 ,/
COCA_spoken_bi_T,40.5 (21.75),46.49 (17.62),45.14 (14.72),41.55 (23.57),0.58 ,0.63 ,/
COCA_spoken_bi_DP,0.04 (0.01),0.04 (0.01),0.04 (0.01),0.04 (0.01),4.25 ,0.01 ,"4>5, 4>6, 6<7"
COCA_spoken_bi_prop_30k,0.51 (0.07),0.54 (0.07),0.53 (0.06),0.56 (0.06),1.47 ,0.23 ,/
COCA_spoken_Trigram_Frequency_Log,0.67 (0.14),0.61 (0.1),0.64 (0.11),0.63 (0.09),1.41 ,0.24 ,/
COCA_spoken_Trigram_Range_Log,-2 (0.13),-2.05 (0.1),-2.02 (0.1),-2.04 (0.08),1.35 ,0.26 ,/
COCA_spoken_tri_MI2,8.34 (0.47),8.24 (0.33),8.37 (0.38),8.26 (0.34),1.06 ,0.37 ,/
COCA_spoken_tri_T,17.89 (10.7),20.75 (4.31),21.62 (5.64),18.6 (7.71),1.81 ,0.15 ,/
COCA_spoken_tri_DP,0.01 (0),0 (0),0 (0),0 (0),1.16 ,0.33 ,/
COCA_spoken_tri_2_MI,2.25 (0.2),2.26 (0.28),2.32 (0.25),2.36 (0.12),0.90 ,0.45 ,/
COCA_spoken_tri_2_T,20.15 (8.09),19.28 (7.18),21.27 (4.78),20.43 (5.42),0.78 ,0.51 ,/
COCA_spoken_tri_2_DP,0.12 (0.02),0.1 (0.02),0.11 (0.02),0.11 (0.02),2.56 ,0.06 ,/
COCA_spoken_tri_prop_30k,0.14 (0.04),0.15 (0.05),0.15 (0.03),0.16 (0.04),0.56 ,0.64 ,/
eat_types,37.82 (1.4),37.53 (1.2),37.56 (1.22),37.57 (1.59),0.23 ,0.88 ,/
eat_tokens,86.59 (2.87),86.58 (3.54),87.43 (2.88),86.6 (3.39),0.70 ,0.56 ,/
USF,22.14 (3.72),22.35 (4.54),22.09 (3.72),23.22 (4.85),0.24 ,0.87 ,/
McD_CD,0.78 (0.08),0.74 (0.09),0.77 (0.08),0.76 (0.07),1.44 ,0.23 ,/
Sem_D,2.09 (0.03),2.1 (0.03),2.1 (0.04),2.11 (0.03),0.44 ,0.72 ,/
Log_Freq_HAL,13.18 (0.24),13.25 (0.2),13.25 (0.17),13.28 (0.17),0.75 ,0.53 ,/
Ortho_N,9.28 (0.66),9.36 (0.63),9.12 (0.71),9.52 (0.67),1.56 ,0.20 ,/
Phono_N,20.19 (1.4),20.89 (1.72),20.72 (1.82),21.06 (1.93),0.78 ,0.51 ,/
Phono_N_H,21.44 (1.49),22.3 (1.83),22.12 (1.98),22.52 (2.18),1.02 ,0.39 ,/
OG_N,4.25 (0.41),4.33 (0.45),4.18 (0.5),4.32 (0.28),0.98 ,0.40 ,/
OG_N_H,9.45 (0.36),9.67 (0.33),9.68 (0.36),9.67 (0.26),2.10 ,0.11 ,/
Freq_N,8.78 (0.22),8.89 (0.23),8.87 (0.27),8.82 (0.18),0.91 ,0.44 ,/
Freq_N_P,8.18 (0.12),8.16 (0.12),8.17 (0.14),8.16 (0.09),0.15 ,0.93 ,/
Freq_N_PH,8.18 (0.12),8.16 (0.12),8.17 (0.14),8.15 (0.09),0.21 ,0.89 ,/
Freq_N_OG,9.45 (0.36),9.65 (0.33),9.68 (0.36),9.67 (0.26),2.00 ,0.12 ,/
Freq_N_OGH,9.45 (0.36),9.67 (0.33),9.68 (0.36),9.67 (0.26),2.10 ,0.11 ,/
OLD,1.61 (0.05),1.61 (0.05),1.63 (0.06),1.61 (0.05),1.22 ,0.31 ,/
OLDF,8.62 (0.09),8.65 (0.1),8.66 (0.1),8.67 (0.08),0.91 ,0.44 ,/
PLD,1.45 (0.05),1.41 (0.06),1.43 (0.06),1.42 (0.04),1.65 ,0.18 ,/
PLDF,9.13 (0.11),9.14 (0.11),9.12 (0.12),9.16 (0.11),0.43 ,0.73 ,/
BG_Mean,3855.43 (243.04),3795.18 (349.04),3779.76 (305.31),3580.51 (292.53),1.86 ,0.14 ,/
LD_Mean_RT,613.62 (3.59),614.63 (5.53),615.53 (5.32),613.17 (4.96),1.02 ,0.39 ,/
LD_Mean_RT_Zscore,-0.61 (0.01),-0.61 (0.02),-0.6 (0.02),-0.61 (0.01),0.62 ,0.61 ,/
LD_Mean_RT_SD,207.06 (5.59),206.12 (6.52),206.9 (6.41),206.11 (6.45),0.17 ,0.92 ,/
LD_Mean_Accuracy,0.96 (0),0.96 (0),0.96 (0.01),0.96 (0.01),0.20 ,0.90 ,/
WN_Mean_RT,598.23 (4.18),598.51 (3.68),598.09 (3.58),597.71 (3.07),0.18 ,0.91 ,/
WN_Zscore,-0.57 (0.02),-0.58 (0.02),-0.58 (0.02),-0.58 (0.02),0.17 ,0.92 ,/
WN_SD,126.11 (3.77),125.28 (3.89),123.41 (4.16),123.09 (4.09),3.11 ,0.03 ,"4>6, 5>6"
WN_Mean_Accuracy,0.99 (0),0.99 (0),0.99 (0),0.99 (0),1.49 ,0.22 ,/
lsa_average_top_three_cosine,0.19 (0.02),0.18 (0.02),0.18 (0.02),0.17 (0.01),2.28 ,0.08 ,/
lsa_max_similarity_cosine,0.32 (0.03),0.31 (0.03),0.3 (0.03),0.29 (0.02),2.44 ,0.07 ,/
lsa_average_all_cosine,0.18 (0.01),0.17 (0.02),0.17 (0.02),0.16 (0.02),1.95 ,0.13 ,/
aoe_inverse_average,0.25 (0.02),0.26 (0.04),0.26 (0.03),0.25 (0.04),0.62 ,0.60 ,/
aoe_inverse_linear_regression_slope,0.96 (0.05),0.97 (0.06),0.96 (0.05),0.97 (0.06),0.46 ,0.71 ,/
aoe_index_above_threshold_40,0.86 (0.19),1.04 (0.44),1.01 (0.4),1 (0.39),0.85 ,0.47 ,/
aoe_inflection_point_polynomial,3.29 (0.31),3.38 (0.49),3.36 (0.43),3.2 (0.44),0.65 ,0.58 ,/
