One-way ANOVA Result,,,,,,,
Measure,Mean (SD),,,,F,Sig.,Post hoc tests
COCA_spoken_bi_MI2,9.07 (0.21),9.19 (0.27),9.13 (0.32),9.17 (0.29),0.382,0.766,/
COCA_spoken_bi_T,37.16 (24.64),48.5 (15.67),43.55 (16.82),45.5 (19.51),0.83,0.48,/
COCA_spoken_bi_DP,0.04 (0),0.04 (0.01),0.04 (0.01),0.04 (0.01),4.016,0.009,C>D
COCA_spoken_bi_prop_30k,0.55 (0.05),0.54 (0.07),0.53 (0.06),0.53 (0.06),0.186,0.906,/
COCA_spoken_Trigram_Frequency_Log,0.65 (0.08),0.64 (0.1),0.62 (0.11),0.66 (0.12),0.745,0.528,/
COCA_spoken_Trigram_Range_Log,-2.02 (0.07),-2.02 (0.09),-2.04 (0.11),-2.01 (0.12),0.66,0.578,/
COCA_spoken_tri_MI2,8.22 (0.36),8.36 (0.32),8.3 (0.39),8.34 (0.39),0.306,0.821,/
COCA_spoken_tri_T,17.6 (9.27),22.18 (4.95),20.61 (5.34),19.52 (9.08),1.121,0.344,/
COCA_spoken_tri_DP,0 (0),0 (0),0 (0),0.01 (0),1.071,0.364,/
COCA_spoken_tri_2_MI,2.34 (0.14),2.38 (0.2),2.26 (0.28),2.28 (0.19),1.303,0.277,/
COCA_spoken_tri_2_T,19.97 (7.24),21.66 (4.3),19.8 (6.44),20.75 (7),0.542,0.655,/
COCA_spoken_tri_2_DP,0.11 (0.02),0.11 (0.02),0.1 (0.02),0.12 (0.02),2.959,0.035,C>D
COCA_spoken_tri_prop_30k,0.16 (0.05),0.16 (0.04),0.14 (0.04),0.15 (0.04),0.732,0.535,/
eat_types,38.12 (1.64),37.26 (1.15),37.71 (1.21),37.43 (1.38),1.229,0.302,/
eat_tokens,87.22 (4.13),86.9 (2.51),87.04 (3.38),86.73 (2.97),0.076,0.973,/
USF,25.2 (5.29),22.68 (4.22),21.87 (4.02),22.32 (3.71),1.329,0.268,/
McD_CD,0.77 (0.07),0.77 (0.07),0.75 (0.09),0.78 (0.07),1.206,0.311,/
Sem_D,2.12 (0.02),2.11 (0.03),2.09 (0.04),2.1 (0.03),2.163,0.096,/
Log_Freq_HAL,13.28 (0.16),13.25 (0.18),13.24 (0.19),13.23 (0.22),0.149,0.93,/
Ortho_N,9.69 (0.61),9.3 (0.79),9.2 (0.68),9.27 (0.58),0.967,0.411,/
Phono_N,20.57 (2.08),20.73 (1.84),20.87 (1.8),20.45 (1.46),0.38,0.768,/
Phono_N_H,21.98 (2.41),22.14 (2.01),22.27 (1.94),21.75 (1.57),0.47,0.704,/
OG_N,4.37 (0.37),4.28 (0.48),4.21 (0.48),4.3 (0.4),0.43,0.732,/
OG_N_H,9.5 (0.12),9.66 (0.37),9.67 (0.35),9.58 (0.37),0.777,0.509,/
Freq_N,8.73 (0.15),8.85 (0.25),8.88 (0.25),8.86 (0.23),0.791,0.501,/
Freq_N_P,8.19 (0.09),8.16 (0.15),8.16 (0.12),8.18 (0.11),0.168,0.918,/
Freq_N_PH,8.18 (0.09),8.16 (0.15),8.17 (0.12),8.18 (0.11),0.172,0.915,/
Freq_N_OG,9.5 (0.11),9.65 (0.37),9.67 (0.35),9.58 (0.36),0.752,0.523,/
Freq_N_OGH,9.5 (0.12),9.66 (0.37),9.67 (0.35),9.58 (0.37),0.777,0.509,/
OLD,1.6 (0.04),1.62 (0.06),1.62 (0.05),1.61 (0.05),0.3,0.825,/
OLDF,8.67 (0.1),8.65 (0.09),8.66 (0.11),8.63 (0.09),0.778,0.508,/
PLD,1.43 (0.05),1.43 (0.06),1.42 (0.06),1.44 (0.05),0.691,0.559,/
PLDF,9.17 (0.12),9.12 (0.09),9.14 (0.12),9.12 (0.1),0.402,0.752,/
BG_Mean,3670.29 (309.36),3731.69 (258.05),3778.02 (347.95),3840.8 (278.26),0.736,0.532,/
LD_Mean_RT,611 (4.5),615.16 (5.56),615.06 (5.39),614.44 (4.15),1.222,0.305,/
LD_Mean_RT_Zscore,-0.62 (0.01),-0.61 (0.02),-0.6 (0.02),-0.61 (0.01),1.071,0.364,/
LD_Mean_RT_SD,207.55 (6.72),205.66 (6.39),206.49 (6.79),207.43 (4.8),0.367,0.777,/
LD_Mean_Accuracy,0.96 (0.01),0.96 (0),0.96 (0.01),0.96 (0),0.448,0.719,/
WN_Mean_RT,597.01 (3.69),598.46 (3.43),598.12 (3.54),598.52 (4.09),0.328,0.805,/
WN_Zscore,-0.57 (0.02),-0.58 (0.02),-0.58 (0.02),-0.57 (0.02),0.063,0.979,/
WN_SD,123.64 (3.7),124.1 (3.66),123.93 (4.38),125.94 (3.7),1.634,0.185,/
WN_Mean_Accuracy,0.99 (0),0.99 (0),0.99 (0),0.99 (0),0.717,0.544,/
lsa_average_top_three_cosine,0.18 (0.01),0.17 (0.02),0.18 (0.02),0.19 (0.02),2.839,0.041,"B<C, B<D"
lsa_max_similarity_cosine,0.3 (0.03),0.29 (0.04),0.3 (0.03),0.31 (0.03),2.545,0.059,B<D
lsa_average_all_cosine,0.17 (0.02),0.16 (0.02),0.17 (0.02),0.17 (0.02),1.704,0.17,/
aoe_inverse_average,0.25 (0.04),0.25 (0.03),0.26 (0.04),0.26 (0.02),0.199,0.897,/
aoe_inverse_linear_regression_slope,0.97 (0.06),0.96 (0.04),0.97 (0.06),0.97 (0.05),0.071,0.975,/
aoe_index_above_threshold_40,1.05 (0.37),1.03 (0.41),1.01 (0.44),0.94 (0.23),0.283,0.838,/
aoe_inflection_point_polynomial,3.21 (0.46),3.3 (0.4),3.37 (0.49),3.35 (0.33),0.32,0.811,/
